OBJECTID,codigo_ine,UGL_SG,NOMBRE,area_m2,SHAPE.STLength(),uso_suelo
82,18011,5.0,SGE-DO/SO,6583.20424921,431.26380021129006,Sistemas Generales. Equipamientos
83,18011,4.0,,7142.066575695,764.1988979301351,Sistemas Generales. Espacios libres
84,18011,5.0,,29040.32779679,690.7731895050813,Sistemas Generales. Equipamientos
85,18011,5.0,,269.30761695,68.07390444267163,Sistemas Generales. Equipamientos
86,18012,5.0, ,2584.349182995,244.74615265980884,Sistemas Generales. Equipamientos
87,18012,4.0, ,5798.282732125,391.88000826830256,Sistemas Generales. Espacios libres
88,18012,1.0, ,5800.903487185,444.7159675986223,Industrial
89,18012,5.0, ,2271.503446875,284.78188947386144,Sistemas Generales. Equipamientos
90,18012,5.0, ,26385.37578144,1403.0427473602306,Sistemas Generales. Equipamientos
91,18012,2.0,,66131.069456485,2493.961332112189,Residencial
92,18012,2.0,,223082.12521285,7041.688430578611,Residencial
93,18012,6.0, ,283.6976892,74.50940212178953,Sistemas Generales. Infraestructuras
94,18012,4.0, ,21355.559597115,2569.7825481867335,Sistemas Generales. Espacios libres
95,18012,2.0,,49500.65562694,1522.8447493636515,Residencial
96,18013,4.0,A-SG EL1,534.449087205,102.67671420233867,Sistemas Generales. Espacios libres
97,18013,5.0,A-SG EQ 4,3808.168235675,266.1541095664278,Sistemas Generales. Equipamientos
98,18013,6.0,A-SG INF 1,3843.48545153,264.9794145357861,Sistemas Generales. Infraestructuras
99,18013,1.0,POL. IND.ALHAMA,16935.5731001,518.4033697596452,Industrial
100,18013,6.0,A-SG INF 2,1303.63680745,152.59154804913817,Sistemas Generales. Infraestructuras
101,18013,5.0, ,286.638017305,75.42665843395491,Sistemas Generales. Equipamientos
102,18013,2.0,,1960.588916005,206.30810694720986,Residencial
103,18013,4.0,A-SG EL2,2413.857889785,206.81121348571293,Sistemas Generales. Espacios libres
104,18013,4.0,A-SG EL10,3105.82545002,225.8978592061345,Sistemas Generales. Espacios libres
105,18013,5.0,V-SG EQ 4,6539.22661244,370.6088479323672,Sistemas Generales. Equipamientos
106,18013,2.0,,32031.06669603,1041.8736069736242,Residencial
107,18013,5.0,A-SG EQ 2,5885.067776025,362.8876933054181,Sistemas Generales. Equipamientos
108,18013,4.0,A-SG EL7,6246.59292117,390.6025028551809,Sistemas Generales. Espacios libres
109,18013,4.0,A-SG EL11,1281.711032965,251.73700076577086,Sistemas Generales. Espacios libres
110,18013,5.0,A-SG EQ 5,45923.181193265,953.7539584487834,Sistemas Generales. Equipamientos
111,18013,4.0,B-SG EL1,991.890632765,144.92778927286238,Sistemas Generales. Espacios libres
112,18013,6.0,V-SG INF 1,80.71246295,41.33373132969542,Sistemas Generales. Infraestructuras
113,18013,5.0,A-SG EQ 1,1785.29237686,180.42206557636612,Sistemas Generales. Equipamientos
114,18013,2.0,,176751.713498935,6092.284803641033,Residencial
115,18013,2.0,,621286.61306241,10572.907221096752,Residencial
116,18013,2.0,,29001.64959846,878.9902793228498,Residencial
117,18013,4.0,A-SG EL3,2376.26121666,340.1648566019315,Sistemas Generales. Espacios libres
118,18013,4.0,A-SG EL4,527.65502274,96.00426315380588,Sistemas Generales. Espacios libres
119,18013,5.0,B-SG EQ 1,110.78157469,42.78594402265163,Sistemas Generales. Equipamientos
120,18013,4.0,A-SG EL9,1600.193908965,160.02690692373065,Sistemas Generales. Espacios libres
121,18013,4.0,A-SG EL8,9885.12436252,631.5343770142551,Sistemas Generales. Espacios libres
122,18013,4.0,A-SG EL6,387.67197677,99.23365593024448,Sistemas Generales. Espacios libres
123,18013,4.0,A-SG EL5,2711.64357583,214.27825929526654,Sistemas Generales. Espacios libres
124,18014,2.0,,103170.253850025,1644.6600361767623,Residencial
125,18014,2.0,,40382.140294185,850.267171528996,Residencial
126,18014,2.0,,16027.774990985,540.9689291704843,Residencial
127,18014,2.0,,53778.967975175,1157.6987181573502,Residencial
128,18014,2.0,,59991.370541905,1057.0506626992121,Residencial
129,18014,2.0,,903540.70085517,12523.580919289281,Residencial
130,18015,2.0,,145957.386680535,3162.99997940338,Residencial
131,18017,6.0,04-SGI,925.07723176,128.62871575756625,Sistemas Generales. Infraestructuras
132,18017,4.0,28-P,2378.3184837,193.25263368794722,Sistemas Generales. Espacios libres
133,18017,5.0,16-A,1167.926794485,156.56544668402464,Sistemas Generales. Equipamientos
134,18017,5.0,09-E,11159.68547718,569.196992678227,Sistemas Generales. Equipamientos
135,18017,4.0,32-P,1007.36631599,150.4038263468083,Sistemas Generales. Espacios libres
136,18017,4.0,18-P,641.19169309,111.6600613220451,Sistemas Generales. Espacios libres
137,18017,2.0,SUC-PDU-P4,48091.02019207,1185.1718730512898,Residencial
138,18017,4.0,27-P,149.36187425,52.244957976467184,Sistemas Generales. Espacios libres
