codigo_ine,municipio,poblacion_2025,n_poligonos_residenciales,superficie_residencial_m2,superficie_residencial_ha,superficie_media_poligono_m2,superficie_mediana_poligono_m2,superficie_max_poligono_m2,perimetro_total_m,suelo_residencial_m2_por_hab,municipio_key,area_m2_SUNC,area_m2_Urbanizable,area_m2_desarrollo,sunc_m2_por_hab,urbanizable_m2_por_hab,comarca,precio_venta_eur_m2,precio_alquiler_eur_m2_mes,poblacion_aprox,tipo_dato,fuente,fecha,reserva_suelo_hab,indice_expansion,densidad_residencial,poblacion_2025_norm,precio_venta_eur_m2_norm,precio_alquiler_eur_m2_mes_norm,suelo_residencial_m2_por_hab_norm,reserva_suelo_hab_norm,indice_expansion_norm,densidad_residencial_norm,precio_venta_score,precio_alquiler_score,coopscore,factor_escala
18087,Granada,233975,,,,,,,,210.45425625247583,GRANADA,0.0,0.0,0.0,0.0,0.0,,785.0,8.64,,,,,0.0,0.0,47.516375807072556,1.0,0.12466436517069429,0.5993623804463337,0.13612467717814927,0.0,0.0,0.04636873289466367,0.8753356348293058,0.4006376195536663,46.58785474232618,12.362973824977217
18140,Motril,59862,9.0,676210.490344715,67.6210490344715,75134.49892719055,20184.56143568,299493.51438305,14295.567440057292,11.296155997873692,MOTRIL,57849.0,0.0,57849.0,0.966372657111356,0.0,Costa Tropical,1491.0,7.8,57000.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.9663726571113561,0.08554880592063878,885.2568964063819,0.25540549787030226,0.39547372458764857,0.5100956429330499,0.0,0.0005114254460854837,0.008583149538817288,1.0,0.6045262754123515,0.4899043570669501,27.71490605702118,10.999813897090403
18157,Pinos Genil,1642,2.0,311292.158194865,31.129215819486497,155646.0790974325,155646.0790974325,210495.863056425,11981.568587710904,189.5810951247655,PINOS GENIL,233929.05004883,2868740.0,3102669.05004883,142.46592573010352,1747.1010962241169,Área Metropolitana,850.0,8.64,700.0,E,Estimación por comarca/tipología,2026-05,1889.5670219542205,9.967064599509115,52.747875485258085,0.006427581723943278,0.14959723820483312,0.5993623804463337,0.1218578594259981,1.0,0.9999999999999999,0.05232394401827055,0.8504027617951668,0.4006376195536663,24.823664838723893,7.404279118037268
18011,Alfacar,5834,1.0,1168742.807089185,116.8742807089185,1168742.807089185,1168742.807089185,1168742.807089185,21581.511910370948,200.3330145850506,ALFACAR,287997.0,313261.0,601258.0,49.36527254028111,53.6957490572506,Área Metropolitana,1218.0,3.08,6400.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,103.0610215975317,0.5144485136960666,49.91688474669531,0.024354675926717872,0.29075565784426544,0.008501594048884176,0.12920680262090561,0.054542136055562795,0.05161484693511503,0.049101321716023855,0.7092443421557346,0.9914984059511158,18.105683652624943,8.671629544720656
18029,Benamaurel,2235,9.0,3295178.29285607,329.51782928560704,366130.92142845225,108955.231064285,1376322.68743883,32558.922140549806,1474.352703738734,BENAMAUREL,30085.0,446403.0,476488.0,13.460850111856823,199.73288590604028,Comarca de Baza,510.0,8.64,1800.0,E,Estimación por comarca/tipología,2026-05,213.1937360178971,0.14460158378471463,6.782637542998716,0.008963547101387297,0.019179133103183726,0.5993623804463337,1.0,0.11282676588915524,0.01450794086273268,0.0,0.9808208668968162,0.4006376195536663,17.42004155053244,7.71244383427499
18916,Torrenueva Costa,3207,5.0,53930.946176565,5.3930946176565,10786.189235313,8445.08170236,22338.45458864,2193.0275394833748,16.816634292661366,TORRENUEVA COSTA,77348.0,93880.0,171228.0,24.118490801372,29.27346429685064,,785.0,8.64,,,,,53.39195509822264,3.1749489326483378,594.649311269373,0.013120306539626063,0.12466436517069429,0.5993623804463337,0.003773250120312829,0.028256184870862015,0.3185440307876309,0.669190551453366,0.8753356348293058,0.4006376195536663,16.649315300990615,8.073402968986406
18023,Baza,20587,7.0,2195843.0783302747,219.58430783302748,313691.8683328964,40544.70963019,1948584.37551494,42292.24431097391,106.66163493128064,BAZA,1102339.0,268007.0,1370346.0,53.54539272356342,13.018263952980035,Comarca de Baza,656.0,8.64,20000.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,66.56365667654345,0.624063720000436,93.75442263230582,0.08744590225628218,0.07518220176448026,0.5993623804463337,0.06518236023116332,0.0352269360669209,0.06261258906972185,0.09900322543524023,0.9248177982355197,0.4006376195536663,16.612392068747663,9.932463660772646
18122,Loja,20951,19.0,2865887.93162101,286.588793162101,150836.2069274216,59364.89483308,1489210.991495575,54607.5849722098,136.79003062483935,LOJA,337400.0,1586800.0,1924200.0,16.104243234213165,75.73862822776955,Comarca de Loja,772.0,8.64,20500.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,91.84287146198272,0.671414949192249,73.10474275297166,0.08900254879488188,0.11967779056386652,0.5993623804463337,0.08577513618372692,0.04860524680780963,0.06736335883940359,0.07549692497055524,0.8803222094361335,0.4006376195536663,16.497472862950005,9.949989386187548
18116,Lanjarón,3708,1.0,380802.31214644,38.080231214644,380802.31214644,380802.31214644,380802.31214644,18047.426344080777,102.69749518512404,LANJARON,,,0.0,,,Alpujarras Occidentales,1152.0,3.0,3700.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,0.0,97.37335834699618,0.01526283378094049,0.2654392021480629,0.0,0.06247286841262923,0.0,0.0,0.10312279487985065,0.7345607978519371,1.0,16.25987561921456,8.21851757748959
18022,Atarfe,20914,1.0,3364039.55098121,336.403955098121,3364039.55098121,3364039.55098121,3364039.55098121,37294.91923288099,160.85108305351488,ATARFE,33512.0,3636106.0,3669618.0,1.6023716170985942,173.85990245768386,Vega de Granada,1380.0,8.64,17300.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,175.46227407478244,1.090836758720527,62.16930473929739,0.08884431824013411,0.3528960490985807,0.5993623804463337,0.10222087949134463,0.09285845489265396,0.10944413451220647,0.0630487081863513,0.6471039509014194,0.4006376195536663,15.518991356006518,9.948221883876299
