codigo_ine,municipio,poblacion_2025,superficie_residencial_m2,n_poligonos,superficie_media_poligono,precio_m2,fuente,anio,superficie_residencial_ha,cluster,suelo_por_habitante,score_poblacion,score_superficie,score_suelo_hab,coopscore_v1,oportunidad,log_poblacion,score_log_poblacion,coopscore_v2,PCA1,PCA2
18062,Churriana de la Vega,16878,1834448.24297774,1,1834448.24297774,,,,183.444824297774,2,108.68872158891693,0.27950518781742906,0.49454678661907225,0.06656787513881768,30.16406335345029,Media,9.733825524688928,0.7771811727347433,50.06058131952771,1.6408909023587677,-1.6043509342883204
18017,Almuñécar,27544,1697002.899240285,14,121214.49280287747,2999.0,Idealista,2026.0,169.70028992402848,3,61.61061934505827,0.45828793643876026,0.45694519737875583,0.03438996491617246,33.05814493579822,Media,10.223576309906816,0.8633791963449333,51.387998884958094,4.567946958497177,1.7424113788572326
18158,Pinos Puente,9807,1653602.592447675,4,413400.6481119188,,,,165.36025924476752,2,168.6145194705491,0.16098157863859602,0.445071964975651,0.10752719279073278,25.858141741905904,Media,9.190953658175992,0.6816336343144191,45.53104396649287,1.4339592670140888,-0.35285257598353287
18150,Padul,9667,1625682.434090665,1,1625682.434090665,,,,162.5682434090665,2,168.16824600089635,0.1586349083960509,0.4374337118525022,0.10722216461506734,25.473060664433632,Media,9.176576741823373,0.6791032416890077,45.15486369777457,0.8982131152914604,-1.193945390972838
18056,Cúllar,3978,1446821.41796356,1,1446821.41796356,,,,144.682141796356,1,363.7057360391051,0.06327628689719908,0.38850183626736895,0.2408721526077685,24.664526635843785,Media,8.288785810426928,0.5228486200014133,40.533312884608655,0.30119930624621005,-0.863090779736969
18068,Dílar,2384,1279643.76661701,2,639821.883308505,,,,127.96437666170101,1,536.7633249232425,0.036557769992792366,0.34276623544482343,0.3591571151072424,25.582095970793983,Baja,7.776954403322442,0.43276432193458936,38.28631899563346,0.2097719965940728,-0.4249249013127737
18100,Huétor Tájar,10749,1256013.982699005,7,179430.5689570007,,,,125.6013982699005,0,116.84937972825425,0.17677131698486398,0.3363017208635256,0.07214568971607266,20.919579035569125,Media,9.28266103355581,0.6977744854305663,41.48518189034787,1.7008205351594898,0.6667235925592255
18132,Moclín,3503,1244629.5201638849,16,77789.3450102428,,,,124.46295201638848,0,355.3038881427019,0.05531437000284953,0.33318721823777603,0.23512948469149644,22.040804370341423,Baja,8.161660452056282,0.5004740675289518,37.55875245676765,2.617836114473688,3.5629731209349806
18127,Maracena,22294,1233802.696448645,4,308450.6741121613,,,,123.38026964486451,2,55.34236549962524,0.3702878023433178,0.3302252715683028,0.030105609772748926,25.220813226214116,Media,10.012117717061576,0.8261616699441492,45.35699154697529,2.108029613757291,-0.6732898386032441
18014,Alhendín,10475,1176891.2085074452,6,196148.5347512409,,,,117.68912085074452,0,112.35238267374179,0.17217854808159708,0.3146557198146404,0.06907198961783902,19.8237449235687,Media,9.256842205627603,0.6932302723194983,40.46896082673832,1.4492937830723627,0.43088180264553727
18011,Alfacar,5834,1168742.807089185,1,1168742.807089185,,,,116.8742807089185,1,200.3330145850506,0.09438642954122597,0.31242652212221156,0.12920680262090561,19.20485784975241,Baja,8.671629544720656,0.5902305910848948,37.77432198319583,0.2324475729405501,-0.8029911200226464
18039,Caniles,3929,1139734.1608286,1,1139734.1608286,,,,113.97341608286,1,290.0825046649529,0.06245495231230828,0.3044904860845577,0.19055063120940866,19.769786949033815,Baja,8.276394704863307,0.5206677377197153,36.247642301983355,0.056724804668133184,-0.7076280994194778
18071,Dúrcal,7234,1066737.592864735,1,1066737.592864735,,,,106.67375928647351,1,147.4616523174917,0.1178531319666773,0.28452046098299355,0.09306919580782734,17.70848827255488,Baja,8.886685639065584,0.6280812915990599,37.408197693562855,0.264989011982822,-0.811476952181697
18036,Cájar,5511,970868.41718614,1,970868.41718614,,,,97.086841718614,1,176.16919201345308,0.08897232605306828,0.2582930656660584,0.11269081586092054,16.381616884062,Baja,8.614682812693495,0.5802077470181588,35.06583757556141,0.05151228480732873,-0.6904452950058115
18053,Cortes de Baza,1769,959226.327450755,8,119903.29093134438,,,,95.9226327450755,0,542.2421297064755,0.026249182855897685,0.25510808271774515,0.3629018813582071,21.87885523513295,Baja,7.478734825567875,0.3802765281827678,33.21239105638697,0.9146623975077047,1.483188018405386
18115,Láchar,3892,945575.919123405,1,945575.919123405,,,,94.5575919123405,1,242.953730504472,0.06183476089106422,0.251373674312699,0.15833808670232616,16.66013240030967,Baja,8.266935347610456,0.5190028544271736,33.51664494558957,-0.09832949647428237,-0.6090800998458481
18059,Chauchina,5817,940580.76074009,1,940580.76074009,,,,94.05807607400901,1,161.69516258210245,0.09410147672605979,0.25000712460928737,0.10279780833930402,15.907263536332408,Baja,8.668711839055147,0.589717063655365,34.90887711602226,0.052364661335260805,-0.6883081345333583
18912,Cuevas del Campo,1841,861990.633089165,1,861990.633089165,,,,86.1990633089165,1,468.2187034704861,0.02745604183777804,0.2285068422576428,0.31230682653938235,19.333159741620523,Baja,7.518607216815252,0.38729422254053625,31.297179044123506,-0.3285277455520757,-0.48025919167842396
18013,Alhama de Granada,5544,861031.63177184,5,172206.326354368,,,,86.103163177184,0,155.30873588958153,0.08952546975309678,0.22824448361649557,0.09843268198627116,14.768523896840863,Baja,8.620651899784468,0.5812583293255871,33.699707149257605,0.6383048915396368,0.5109901274423737
18165,Pulianas,5659,774214.994427165,1,774214.994427165,,,,77.4214994427165,1,136.8112730919182,0.09145309173804456,0.20449363511270302,0.08578965542231114,13.497027819318792,Baja,8.641179171197228,0.5848712081188343,32.696866939255756,-0.0906381538221049,-0.598504912417904
18027,Benalúa,3381,760520.702073135,1,760520.702073135,,,,76.05207020731349,1,224.9395747036779,0.053269414505774486,0.2007472211416583,0.14602540075138995,14.008733303381266,Baja,8.126222529458525,0.4942368567250559,30.44626202774503,-0.28432289051269094,-0.49495587485221787
18047,Cenes de la Vega,8254,727539.52340425,1,727539.52340425,,,,72.753952340425,1,88.14387247446693,0.13495030087664897,0.1917244001478981,0.052525458838385705,13.293248797366964,Baja,9.018574356354229,0.6512942135787692,34.07525901928684,0.0812193470759426,-0.6853585126890004
18907,Valle del Zalabí,2128,724412.3485637349,4,181103.08714093373,,,,72.44123485637348,0,340.41933673107843,0.03226671583499555,0.19086888376125125,0.2249558851579671,15.351433380238932,Baja,7.663407664893479,0.4127796588459831,28.815494414432298,0.08939110522311515,0.43725532065948874
18079,Fuente Vaqueros,4743,697791.062137475,1,697791.062137475,,,,69.7791062137475,1,147.12019020397955,0.07609916357967784,0.18358596933119875,0.09283580625494955,12.411487868286772,Baja,8.464635940677562,0.5537989199023219,30.898360879058572,-0.2240691791539327,-0.5214456479003685
18105,Iznalloz,5179,689562.75089145,2,344781.375445725,,,,68.956275089145,1,133.14592602653985,0.08340736519217554,0.18133491031965804,0.08328438857460242,12.25414902578966,Baja,8.55256033525353,0.5692739518335095,31.19978964889347,-0.02795278348764284,-0.24885162749780118
18045,Castilléjar,1284,684700.617528105,1,684700.617528105,,,,68.47006175281051,1,533.2559326542874,0.018119646658509195,0.18000475291607687,0.35675981045461574,18.446573830036826,Baja,7.158513997329321,0.3239164296467312,28.175818799297332,-0.5121332185733198,-0.36806063087319835
18140,Motril,59862,676210.490344715,9,75134.49892719055,1491.0,Idealista,2026.0,67.6210490344715,3,11.296155997873692,1.0,0.1776820676488503,0.0,37.10728270595401,Media,10.999813897090403,1.0000000000000002,46.21887236770977,5.526275342215373,-0.5547100078905133
