codigo_ine,municipio,poblacion_2025,superficie_residencial_m2,n_poligonos,superficie_media_poligono,precio_m2,fuente,anio
18915,Domingo Pérez de Granada,822,208363.28509348,3,69454.42836449333,,,
18133,Molvízar,2689,205222.216039685,1,205222.216039685,,,
18065,Dehesas Viejas,635,202944.203523435,1,202944.203523435,,,
18162,Polopos,1682,198536.81437464,1,198536.81437464,,,
18086,Gorafe,368,196191.159436165,1,196191.159436165,,,
18024,Beas de Granada,1007,189223.652450875,1,189223.652450875,,,
18007,Albuñuelas,794,167357.00469118002,2,83678.50234559001,,,
18141,Murtas,431,167292.51562743,3,55764.171875809996,,,
18117,Lanteira,533,157319.31525137,2,78659.657625685,,,
18078,Freila,960,157318.997557605,1,157318.997557605,,,
18002,Alamedilla,518,150962.6123494,1,150962.6123494,,,
18015,Alicún de Ortega,461,145957.386680535,1,145957.386680535,,,
18909,Morelábor,588,141721.35829077,2,70860.679145385,,,
18106,Játar,631,132592.931390455,3,44197.64379681833,,,
18032,Bubión,305,127554.955319715,2,63777.4776598575,,,
18128,Marchal,437,126994.366815865,1,126994.366815865,,,
18077,Fornes,526,121467.22449909,1,121467.22449909,,,
18148,Otívar,1011,115347.563983745,1,115347.563983745,,,
18174,Santa Cruz del Comercio,523,109734.688251415,2,54867.3441257075,,,
18042,Capileira,590,100753.1560469,1,100753.1560469,,,
18037,Calicasas,687,99749.0259639,1,99749.0259639,,,
18074,Ferreira,297,93631.248377615,1,93631.248377615,,,
18120,Lentegí,368,90275.07269731,1,90275.07269731,,,
18103,Ítrabo,1022,89927.43569842,1,89927.43569842,,,
18179,Torvizcón,608,76505.15265463,1,76505.15265463,,,
18151,Pampaneira,312,73979.63278469,3,24659.877594896665,,,
18181,Turón,203,71872.337600865,1,71872.337600865,,,
18067,Diezma,829,67389.79840357,1,67389.79840357,,,
18124,Lújar,491,66468.25974254,1,66468.25974254,,,
18001,Agrón,247,62405.076949095,1,62405.076949095,,,
18109,Jete,990,59455.679772265,1,59455.679772265,,,
18916,Torrenueva Costa,3207,53930.946176565,5,10786.189235312999,,,
18040,Cáñar,424,43779.44941928,1,43779.44941928,,,
18070,Dúdar,382,36361.038294535,1,36361.038294535,,,
18176,Soportújar,260,26728.025444185,1,26728.025444185,,,
