codigo_ine,municipio,poblacion_2025,n_poligonos_residenciales,superficie_residencial_m2,superficie_residencial_ha,superficie_media_poligono_m2,superficie_mediana_poligono_m2,superficie_max_poligono_m2,perimetro_total_m,suelo_residencial_m2_por_hab,municipio_key,area_m2_SUNC,area_m2_Urbanizable,area_m2_desarrollo,sunc_m2_por_hab,urbanizable_m2_por_hab,comarca,precio_venta_eur_m2,precio_alquiler_eur_m2_mes,poblacion_aprox,tipo_dato,fuente,fecha,reserva_suelo_hab,indice_expansion,densidad_residencial
18905,"Gabias, Las",23584,1.0,3682034.79609754,368.203479609754,3682034.79609754,3682034.79609754,3682034.79609754,40983.79038535671,156.1242705265239,LAS GABIAS,,,0.0,,,Área Metropolitana,1601.0,8.4,25600.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,0.0,64.05154026517037
18089,Guadix,18881,7.0,3460927.704705036,346.0927704705035,494418.2435292908,118598.31068981,2848795.577879405,43493.53974159458,183.30213996637016,GUADIX,438023.0,353243.0,791266.0,23.199141994597746,18.708913722790108,Comarca de Guadix,839.0,,18800.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,41.90805571738785,0.2286282949292167,54.55473679595157
18022,Atarfe,20914,1.0,3364039.55098121,336.403955098121,3364039.55098121,3364039.55098121,3364039.55098121,37294.91923288099,160.85108305351488,ATARFE,33512.0,3636106.0,3669618.0,1.6023716170985942,173.85990245768386,Vega de Granada,1380.0,,17300.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,175.46227407478244,1.090836758720527,62.16930473929739
18029,Benamaurel,2235,9.0,3295178.29285607,329.51782928560704,366130.92142845225,108955.231064285,1376322.68743883,32558.922140549806,1474.352703738734,BENAMAUREL,30085.0,446403.0,476488.0,13.460850111856823,199.73288590604028,Comarca de Baza,510.0,,1800.0,E,Estimación por comarca/tipología,2026-05,213.1937360178971,0.14460158378471463,6.782637542998716
18003,Albolote,19768,1.0,2949835.53132449,294.983553132449,2949835.53132449,2949835.53132449,2949835.53132449,42092.590074378,149.22276058905757,ALBOLOTE,828396.0,2047817.13671875,2876213.13671875,41.905908539053016,103.5925301860962,Área Metropolitana,1622.0,8.88,19800.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,145.49843872514924,0.9750418645975549,67.01390565705226
18122,Loja,20951,19.0,2865887.93162101,286.588793162101,150836.2069274216,59364.89483308,1489210.991495575,54607.5849722098,136.79003062483935,LOJA,337400.0,1586800.0,1924200.0,16.104243234213165,75.73862822776955,Comarca de Loja,772.0,,20500.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,91.84287146198272,0.671414949192249,73.10474275297166
18173,Salobreña,12760,1.0,2549806.20594744,254.980620594744,2549806.20594744,2549806.20594744,2549806.20594744,37748.824768996055,199.8280725664138,SALOBRENA,,,0.0,,,Costa Tropical,2173.0,9.1,13500.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,0.0,50.04301883898947
18102,Íllora,9923,9.0,2251831.87769618,225.183187769618,250203.5419662422,155067.84794378,826560.62501125,41696.83217624153,226.93055302793303,ILLORA,,,0.0,,,Poniente Granadino,559.0,,10500.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,0.0,44.06634482034286
18023,Baza,20587,7.0,2195843.0783302747,219.58430783302748,313691.8683328964,40544.70963019,1948584.37551494,42292.24431097391,106.66163493128064,BAZA,1102339.0,268007.0,1370346.0,53.54539272356342,13.018263952980035,Comarca de Baza,656.0,,20000.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,66.56365667654345,0.624063720000436,93.75442263230582
18021,Armilla,25300,3.0,2018746.3210302151,201.87463210302155,672915.440343405,122760.381248,1777167.558640775,31524.40495374272,79.79234470475159,ARMILLA,102310.0,42940.0,145250.0,4.043873517786562,1.6972332015810276,Área Metropolitana,2144.0,9.0,26500.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,5.741106719367589,0.07195059551904244,125.3253057922047
