codigo_ine,municipio,poblacion_2025,superficie_residencial_m2,n_poligonos,superficie_media_poligono,municipio_merge,precio_venta_eur_m2,comarca,precio_imputado,score_precio,distancia_capital_km,distancia_costa_km,score_capital_norm,score_litoral,suelo_por_habitante,log_poblacion,score_superficie,score_log_poblacion,score_suelo_hab,coopscore_v6,IVU,IVEC,perfil_municipio
18905,"Gabias, Las",23584,3682034.79609754,1,3682034.79609754,las gabias,1142.0,,False,0.2324561403508772,9.05,189.0,0.9707616860140295,0,156.1242705265239,10.068366195718362,1.0,0.836061618729607,0.09899010038421459,76.12195522127307,72.38493673180703,42.74071036321938,Equilibrado
18089,Guadix,18881,3460927.704705036,7,494418.2435292908,guadix,839.0,Comarca de Guadix,False,0.1116427432216906,52.61,91.1,0.70035383946862,0,183.3021399663702,9.845964366292462,0.9395106607282148,0.7969180405620411,0.11756618992895042,69.51241855524312,64.50959552365164,36.34243135134927,Potencial Urbanístico
18022,Atarfe,20914,3364039.55098121,1,3364039.55098121,atarfe,1380.0,Vega de Granada,False,0.3273524720893142,10.45,108.3,0.9620708920479235,0,160.85108305351488,9.948221883876299,0.9130044986458165,0.814915757321371,0.10222087949134463,72.75688903469081,67.95826915798963,45.69072917642741,Equilibrado
18029,Benamaurel,2235,3295178.29285607,9,366130.92142845225,benamaurel,1142.0,,False,0.2324561403508772,109.41,36.8,0.34775591284375196,0,1474.352703738734,7.71244383427499,0.8941657903114045,0.42141021343349694,1.0,60.68499996126345,81.66340777244527,26.154654151374967,Potencial Urbanístico
18003,Albolote,19768,2949835.53132449,1,2949835.53132449,albolote,1612.0,Área Metropolitana,False,0.4198564593301435,9.78,71.1,0.9662300577317028,0,149.22276058905757,9.891870333195937,0.7996886962671601,0.8049976674629635,0.09427291433414489,68.86833474786351,62.13722339801642,48.99416507172428,Equilibrado
18122,Loja,20951,2865887.93162101,19,150836.2069274216,loja,772.0,Comarca de Loja,False,0.08492822966507174,53.49,103.9,0.694891054689925,0,136.79003062483937,9.949989386187548,0.7767227443045359,0.8152268445325703,0.08577513618372694,63.94953866636058,55.307212394537096,36.006202967905686,Equilibrado
18173,Salobreña,12760,2549806.20594744,1,2549806.20594744,salobrena,2173.0,Costa Tropical,False,0.6435406698564593,67.63,7.6,0.6071140356322553,1,199.8280725664138,9.454148923733976,0.6902507337441001,0.7279570142852427,0.1288616744579399,65.21473163121125,50.5206676335883,74.85990736566808,Alta Prioridad
18102,Íllora,9923,2251831.87769618,9,250203.5419662422,illora,559.0,Vega de Granada,False,0.0,34.55,61.6,0.8124650816313862,0,226.93055302793306,9.202711344811691,0.6087324517100041,0.6837030324263065,0.14738623559220967,54.833755117006824,51.107511285894226,27.34812129705226,Equilibrado
18023,Baza,20587,2195843.0783302747,7,313691.8683328964,baza,656.0,Comarca de Baza,False,0.038676236044657086,96.15,108.5,0.4300701471227263,0,106.66163493128064,9.932463660772646,0.5934153243445498,0.8121422493901096,0.06518236023116332,54.34042133447525,40.22763996661692,34.03273941739067,Equilibrado
18021,Armilla,25300,2018746.3210302151,3,672915.440343405,armilla,2144.0,Área Metropolitana,False,0.6319776714513556,8.12,142.7,0.976534856291514,0,79.79234470475159,10.138599199626192,0.5449661056026698,0.8484228977959964,0.046817184757926456,62.162023886704496,48.183517948701564,59.21602276989408,Equilibrado
