codigo_ine,municipio,poblacion_2025,n_poligonos_residenciales,superficie_residencial_m2,superficie_residencial_ha,superficie_media_poligono_m2,superficie_mediana_poligono_m2,superficie_max_poligono_m2,perimetro_total_m,suelo_residencial_m2_por_hab
18182,Ugíjar,2574,5.0,500769.79577499,50.076979577499,100153.959154998,48906.403094315,363841.536025405,16697.46940755136,194.54926020784382
18082,Galera,1139,7.0,485445.854619945,48.5445854619945,69349.40780284928,28268.866751165,288735.13361815,15053.59798332784,426.20355980679983
18088,Guadahortuna,1829,1.0,479490.480755405,47.949048075540496,479490.480755405,479490.480755405,479490.480755405,7998.005439570624,262.1599129335183
18171,Salar,2582,2.0,469554.56567238003,46.955456567238,234777.28283619002,234777.28283619002,468924.098251865,10512.236002727046,181.85691931540669
18061,Chimeneas,1265,2.0,402728.7183331,40.272871833310006,201364.35916655,201364.35916655,277403.16100397,12621.71820814882,318.3626231882214
18188,Villanueva Mesía,1965,2.0,400773.508574315,40.0773508574315,200386.7542871575,200386.7542871575,325609.422800295,6400.2880284246385,203.955984007285
18054,Cortes y Graena,949,5.0,398208.557558975,39.8208557558975,79641.711511795,56179.6876229,182012.261510835,10448.778095959122,419.60859595255533
18085,Gor,766,8.0,389091.14842684503,38.9091148426845,48636.39355335563,33608.720673395,188216.7600259,13308.293056621438,507.9518908966645
18116,Lanjarón,3708,1.0,380802.31214644,38.080231214643995,380802.31214644,380802.31214644,380802.31214644,18047.426344080777,102.69749518512405
18136,Montejícar,1989,1.0,380215.725686385,38.0215725686385,380215.725686385,380215.725686385,380215.725686385,4404.288557133508,191.1592386557994
18152,Pedro Martínez,1166,1.0,370307.81751789,37.030781751789,370307.81751789,370307.81751789,370307.81751789,4690.461466102332,317.58817968944254
18126,"Malahá, La",1928,1.0,369787.50396414,36.978750396414,369787.50396414,369787.50396414,369787.50396414,7699.10960011567,191.79849790671162
18114,"Calahorra, La",680,1.0,368001.905389055,36.800190538905504,368001.905389055,368001.905389055,368001.905389055,5619.362672522074,541.1792726309633
18095,Güevéjar,2723,3.0,360411.99976810004,36.041199976810006,120137.33325603335,15417.653638805,335364.03129512,6176.216056621057,132.35842811902316
18094,Güéjar Sierra,2915,1.0,353989.19084915,35.398919084915,353989.19084915,353989.19084915,353989.19084915,8159.008215894484,121.43711521411664
18012,Algarinejo,2335,3.0,338713.850296275,33.8713850296275,112904.616765425,66131.069456485,223082.12521285,11058.49451205445,145.0594647949786
