codigo_ine,n_poligonos_residenciales,superficie_residencial_m2,superficie_media_poligono_m2,superficie_mediana_poligono_m2,superficie_max_poligono_m2,perimetro_total_m,superficie_residencial_ha
18054,5,398208.557558975,79641.711511795,56179.6876229,182012.261510835,10448.778095959122,39.8208557558975
18085,8,389091.14842684503,48636.39355335563,33608.720673395,188216.7600259,13308.293056621438,38.9091148426845
18116,1,380802.31214644,380802.31214644,380802.31214644,380802.31214644,18047.426344080777,38.080231214643995
18136,1,380215.725686385,380215.725686385,380215.725686385,380215.725686385,4404.288557133508,38.0215725686385
18152,1,370307.81751789,370307.81751789,370307.81751789,370307.81751789,4690.461466102332,37.030781751789
18126,1,369787.50396414,369787.50396414,369787.50396414,369787.50396414,7699.10960011567,36.978750396414
18114,1,368001.905389055,368001.905389055,368001.905389055,368001.905389055,5619.362672522074,36.800190538905504
18095,3,360411.99976810004,120137.33325603335,15417.653638805,335364.03129512,6176.216056621057,36.041199976810006
18094,1,353989.19084915,353989.19084915,353989.19084915,353989.19084915,8159.008215894484,35.398919084915
18012,3,338713.850296275,112904.616765425,66131.069456485,223082.12521285,11058.49451205445,33.8713850296275
18167,2,328135.94728009496,164067.97364004748,164067.97364004748,173069.859123515,12237.143041961972,32.8135947280095
18157,2,311292.158194865,155646.0790974325,155646.0790974325,210495.863056425,11981.568587710904,31.129215819486497
18187,1,294168.155933855,294168.155933855,294168.155933855,294168.155933855,3561.5604268132724,29.416815593385497
18035,4,289873.67392418004,72468.41848104501,47845.98605357,192179.995015905,10021.766207809664,28.987367392418005
18178,1,284947.11599401,284947.11599401,284947.11599401,284947.11599401,4477.728887678502,28.494711599401
18020,2,281374.328932895,140687.1644664475,140687.1644664475,165960.05815871,5639.390993692281,28.137432893289496
18018,2,278416.790713775,139208.3953568875,139208.3953568875,266595.801788045,8497.11757176266,27.8416790713775
18189,1,270579.48029726,270579.48029726,270579.48029726,270579.48029726,5712.675644594848,27.057948029726
18028,3,264554.90193260496,88184.96731086832,25989.455962085,224917.065638735,4574.679815883869,26.455490193260495
18143,1,263121.14902596,263121.14902596,263121.14902596,263121.14902596,5219.975916406311,26.312114902596
18049,1,260025.344087825,260025.344087825,260025.344087825,260025.344087825,7344.325475578262,26.002534408782502
18051,1,253266.364389555,253266.364389555,253266.364389555,253266.364389555,8015.004678758797,25.3266364389555
18107,1,252049.10813568,252049.10813568,252049.10813568,252049.10813568,5544.953053883051,25.204910813568
18034,2,251633.08721880498,125816.54360940249,125816.54360940249,144582.216013785,4686.588243675884,25.163308721880497
18902,1,248523.96962834,248523.96962834,248523.96962834,248523.96962834,11738.080062138226,24.852396962834
18072,1,245145.64353299,245145.64353299,245145.64353299,245145.64353299,3171.3765731221783,24.514564353299
18903,4,242871.147840105,60717.78696002625,47351.589027085,137570.42568721,12175.74033433374,24.287114784010498
18137,2,242424.172246695,121212.0861233475,121212.0861233475,223630.986630935,7417.344951955806,24.2424172246695
18154,2,239774.9402367,119887.47011835,119887.47011835,195320.202358675,6525.537590952613,23.97749402367
18069,1,231185.95518309,231185.95518309,231185.95518309,231185.95518309,3707.039228554433,23.118595518309
18064,2,230921.627257985,115460.8136289925,115460.8136289925,228151.157331245,3201.45080990323,23.0921627257985
18076,2,220072.846814525,110036.4234072625,110036.4234072625,213309.89636391,3783.4097740765974,22.0072846814525
18038,1,217199.198394545,217199.198394545,217199.198394545,217199.198394545,5401.595772657599,21.7199198394545
18183,5,214974.409397395,42994.881879479,14499.46585537,154032.29111299,8958.259482427118,21.4974409397395
18004,1,213613.192790615,213613.192790615,213613.192790615,213613.192790615,1948.351037674003,21.3613192790615
18010,2,211494.47810675,105747.239053375,105747.239053375,207568.37338474,8860.790458954234,21.149447810675
18915,3,208363.28509348,69454.42836449333,15829.54011392,180384.611765435,6448.061650349297,20.836328509348
