codigo_ine,municipio,poblacion_2025,superficie_residencial_m2,n_poligonos,superficie_media_poligono,precio_m2,fuente,anio,superficie_residencial_ha,cluster,suelo_por_habitante,score_poblacion,score_superficie,score_suelo_hab,coopscore_v1,oportunidad,log_poblacion,score_log_poblacion,coopscore_v2,PCA1,PCA2,objetivo_ml,densidad_residencial,municipio_merge,distancia_capital_km,distancia_costa_km,score_capital,score_costa,score_capital_norm,score_costa_norm,coopscore_v3,factor_poblacion,coopscore_v4,score_precio,coopscore_v5,score_litoral,coopscore_v6,score_n_poligonos,IVU,IVEC,perfil_municipio
18905,"Gabias, Las",23584,3682034.79609754,1,3682034.79609754,,,,368.203479609754,2,156.1242705265239,0.3919106924353408,1.0,0.0989901003842145,54.727023784586656,Alta,10.068366195718362,0.836061618729607,70.91721725878966,3.626685012044804,-2.81186772192822,0.717369091651416,3682034.79609754,las gabias,9.05,189.0,0.09950248756218905,0.005263157894736842,0.5158077018223797,0.0007064156038286279,60.62552215929845,1.0,60.62552215929845,0.35665529010238906,56.300092915265175,0.0,56.10127642591485,0.0,72.96970301152643,49.66421420243137,Equilibrado
18089,Guadix,18881,3460927.704705036,7,494418.2435292908,,,,346.0927704705036,2,183.3021399663702,0.3130793342161283,0.9395106607282148,0.1175661899289504,50.49979215348096,Media,9.845964366292462,0.7969180405620411,67.69874949619292,4.081035755655864,-0.7798079365513513,0.6841171259702379,494418.2435292908,guadix,52.61,91.1,0.018653236336504384,0.010857763300760045,0.06976104276743948,0.006326649069430498,51.56927676668237,1.0,51.56927676668237,0.35665529010238906,47.64913166212218,0.0,42.933646247566436,0.33333333333333326,63.83585206761258,39.56897367630559,Potencial Urbanístico
18022,Atarfe,20914,3364039.55098121,1,3364039.55098121,1369.0,Idealista,2026.0,336.403955098121,2,160.85108305351488,0.3471563385239444,0.9130044986458165,0.1022208794913446,50.00149648629133,Media,9.9482218838763,0.814915757321371,67.10730973274204,3.1631601388366493,-2.5396861425374717,0.6759775343936425,3364039.55098121,atarfe,10.45,108.3,0.08733624454148473,0.009149130832570906,0.44868633742671715,0.004610189608716444,56.58384343972358,1.0,56.58384343972358,0.30460750853242324,52.002250390417274,0.0,51.87389924061093,0.0,68.71685131703116,45.6054998094724,Equilibrado
18029,Benamaurel,2235,3295178.29285607,9,366130.92142845225,,,,329.51782928560704,2,1474.352703738734,0.0340602423775121,0.8941657903114045,1.0,66.78843888378155,Alta,7.71244383427499,0.4214102134334969,73.15221119823903,2.949366390454576,0.5836486012048977,0.7551598908262858,366130.92142845225,benamaurel,109.41,36.8,0.009057150620414818,0.026455026455026457,0.01681927882062889,0.021995360978411826,57.83247183727311,0.75,43.37435387795483,0.35665529010238906,51.604421170084436,0.0,46.202830996970775,0.4444444444444444,85.81940062668134,27.244903583513047,Potencial Urbanístico
18003,Albolote,19768,2949835.53132449,1,2949835.53132449,,,,294.983553132449,2,149.22276058905757,0.3279471663956821,0.7996886962671601,0.0942729143341448,44.65415027258122,Media,9.891870333195936,0.8049976674629635,62.54583392622277,2.746676099777765,-2.284149807284421,0.6251928907024374,2949835.53132449,albolote,9.78,71.1,0.0927643784786642,0.013869625520110958,0.47863344232720706,0.009352308183968544,53.27408557801958,1.0,53.27408557801958,0.35665529010238906,50.12911853923407,0.0,49.47210052913063,0.0,62.81262224338236,47.988810474528606,Equilibrado
18122,Loja,20951,2865887.93162101,19,150836.2069274216,770.0,Idealista,2026.0,286.588793162101,3,136.79003062483935,0.3477765299451885,0.7767227443045359,0.0857751361837269,44.0754597560489,Media,9.949989386187548,0.8152268445325703,61.93874823655474,5.791727780394499,2.873447826952389,0.6174622773541457,150836.2069274216,loja,53.49,103.9,0.018351991191044227,0.009532888465204956,0.06809906830692233,0.004995705178284227,46.469299242511546,1.0,46.469299242511546,0.04906143344709896,38.816597119113865,0.0,38.711709248693765,1.0,41.409391300738605,27.781244039999514,Equilibrado
18173,Salobreña,12760,2549806.20594744,1,2549806.20594744,2078.0,Idealista,2026.0,254.980620594744,2,199.8280725664138,0.2104795588259944,0.6902507337441001,0.1288616744579399,37.79026634828203,Media,9.454148923733976,0.7279570142852427,56.49859811390171,1.8704870835510583,-1.7868309483445113,0.5631006671119599,2549806.20594744,salobrena,67.63,7.6,0.014570887367040654,0.11627906976744186,0.04723865583966551,0.11223087494273934,43.314569445635236,1.0,43.314569445635236,0.6070819112627986,44.68545100214081,1.0,49.929300142168096,0.0,58.37838692094319,57.06675999586255,Alta Prioridad
18102,Íllora,9923,2251831.87769618,9,250203.5419662422,,,,225.183187769618,2,226.93055302793303,0.1629259625538477,0.6087324517100041,0.1473862355922096,33.658664012781884,Media,9.202711344811693,0.6837030324263065,52.33841299670764,2.749584798206129,0.7783916980165885,0.5196356009312614,250203.5419662422,illora,34.55,61.6,0.028129395218002815,0.01597444089456869,0.1220411683800732,0.011466765406224981,40.24755925356533,1.0,40.24755925356533,0.35665529010238906,38.398280006458556,0.0,34.154194684661206,0.4444444444444444,45.9693207643776,37.218125944486225,Equilibrado
18023,Baza,20587,2195843.0783302747,7,313691.8683328964,655.0,Idealista,2026.0,219.58430783302748,2,106.66163493128064,0.3416751873145711,0.5934153243445498,0.0651823602311633,35.94233940015402,Media,9.932463660772646,0.8121422493901096,54.88478533344271,3.227122617920669,-0.2203552581520074,0.5379115070821491,313691.8683328964,baza,96.15,108.5,0.010293360782295419,0.0091324200913242,0.023639470773395357,0.004593402318036633,39.81018925449379,1.0,39.81018925449379,0.0,32.45648958466468,0.0,32.64695026921827,0.33333333333333326,44.95957035749573,24.837056897171195,Equilibrado
18021,Armilla,25300,2018746.3210302151,3,672915.440343405,2120.0,Idealista,2026.0,201.87463210302155,2,79.79234470475159,0.4206741648368226,0.5449661056026698,0.0468171847579264,35.82338471194927,Media,10.138599199626192,0.8484228977959964,54.18115922688147,2.7967533065324086,-1.479958824466828,0.5266387526591483,672915.440343405,armilla,8.12,142.7,0.10964912280701755,0.006958942240779402,0.5717868566443733,0.002409968087049578,47.09680183867462,1.0,47.09680183867462,0.625,49.270770897891666,0.0,45.58953978346491,0.1111111111111111,46.43059860064906,61.888424066767364,Equilibrado
