OBJECTID,codigo_ine,UGL_SG,NOMBRE,area_m2,SHAPE.STLength(),uso_suelo
499,18053,2.0,,21629.288357975,794.5791806197486,Residencial
504,18053,2.0,,18330.47288021,579.6221859345576,Residencial
514,18053,2.0,,383662.36889697,7531.6075709853185,Residencial
519,18053,2.0,,122706.195263785,4019.559948087069,Residencial
538,18053,2.0,,124.34229199,46.24319438495483,Residencial
545,18053,2.0,,100676.6138676,3683.4171426211788,Residencial
547,18053,2.0,,99408.719869935,3042.3773478165845,Residencial
550,18053,2.0,,212688.32602229,5501.298973274078,Residencial
552,18054,2.0,,125073.601122385,2987.4097548830355,Residencial
553,18054,2.0,,56179.6876229,1781.727921835131,Residencial
556,18054,2.0,,6805.666654845,484.485169427491,Residencial
559,18054,2.0,,182012.261510835,4313.313320833909,Residencial
563,18054,2.0,,28137.34064801,881.8419289795557,Residencial
564,18056,2.0,,1446821.41796356,26160.163925939352,Residencial
565,18061,2.0,,125325.55732913,4505.747447204485,Residencial
585,18061,2.0,EQ-12,277403.16100397,8115.970760944335,Residencial
600,18064,2.0,,228151.157331245,2990.688969227684,Residencial
601,18064,2.0,,2770.46992674,210.76184067554587,Residencial
609,18065,2.0,,202944.203523435,5111.706647654579,Residencial
625,18067,2.0,,67389.79840357,1678.59928405597,Residencial
626,18068,2.0,,1278853.553210095,14959.610106891287,Residencial
630,18068,2.0,,790.213406915,387.12915585529265,Residencial
637,18069,2.0,,231185.95518309,3707.039228554433,Residencial
638,18070,2.0,,36361.038294535,1252.5687961787453,Residencial
645,18071,2.0,,1066737.592864735,22615.52487161055,Residencial
659,18072,2.0,,245145.64353299,3171.3765731221783,Residencial
661,18074,2.0,,93631.248377615,2358.889110073879,Residencial
666,18076,2.0,,213309.89636391,3420.2481368961676,Residencial
667,18076,2.0,,6762.950450615,363.1616371804295,Residencial
672,18078,2.0,,157318.997557605,4709.848562558762,Residencial
689,18082,2.0,,7672.905609805,553.1723445403753,Residencial
690,18082,2.0,,60168.300607715,1489.967598178294,Residencial
693,18082,2.0,,288735.13361815,6689.0463455013205,Residencial
697,18082,2.0,,10635.263045965,731.9336698702665,Residencial
699,18082,2.0,,74520.735789415,3237.029365652966,Residencial
700,18082,2.0,,15444.64919773,1013.7453123149345,Residencial
701,18082,2.0,,28268.866751165,1338.7033472696824,Residencial
705,18085,2.0,,14758.560044315,958.2333329291939,Residencial
706,18085,2.0,,31157.200981985,1219.6404622625064,Residencial
707,18085,2.0,,36060.240364805,1996.424995614947,Residencial
708,18085,2.0,,20364.74595547,1848.2057619501093,Residencial
709,18085,2.0,,43173.656879,2045.0907745711152,Residencial
710,18085,2.0,,6272.49379671,681.3039425286048,Residencial
711,18085,2.0,,188216.7600259,2321.2171152071815,Residencial
712,18085,2.0,,49087.49037866,2238.176671557781,Residencial
713,18086,2.0,,196191.159436165,4840.023612235235,Residencial
715,18088,2.0,,479490.480755405,7998.005439570624,Residencial
717,18089,2.0,,36092.723092235,921.4979834778679,Residencial
718,18089,2.0,,198094.23029432,3449.9142114335305,Residencial
724,18089,2.0,,148719.51777712,4226.261281797492,Residencial
727,18089,2.0,,2848795.577879405,27873.14147519756,Residencial
728,18089,2.0,,86767.159682675,2313.6686109945867,Residencial
732,18089,2.0,,118598.31068981,3308.7492649492306,Residencial
733,18089,2.0,,23860.18528947,1400.3069137443133,Residencial
747,18094,2.0,,353989.19084915,8159.008215894484,Residencial
756,18095,2.0,,335364.03129512,5201.999155318283,Residencial
760,18095,2.0,,15417.653638805,536.2041691303364,Residencial
767,18095,2.0,,9630.314834175,438.0127321724375,Residencial
773,18097,2.0,PP-1,74482.908092385,1597.0450633647847,Residencial
774,18097,2.0,Las Cuevas,60063.149877015,2755.070804836073,Residencial
777,18097,2.0,Huéneja,312890.26520806,4658.014724447241,Residencial
781,18097,2.0,La Huertezuela,56603.07686406,1238.9396031907827,Residencial
799,18099,2.0,,583788.93253594,13656.796305991327,Residencial
802,18100,2.0,,9111.651961735,584.9192605681746,Residencial
806,18100,2.0,,14132.1070614,522.173306544035,Residencial
816,18100,2.0,,1038148.994018585,15280.302320543009,Residencial
821,18100,2.0,,8673.130622695,588.523483491476,Residencial
836,18100,2.0,,11955.434537775,792.72765523139,Residencial
843,18100,2.0,,11883.27026671,764.5831042710722,Residencial
879,18100,2.0,,162109.394230105,6291.260264515876,Residencial
882,18102,2.0,,155067.84794378,3642.428962673477,Residencial
887,18102,2.0,,27404.37330007,1072.0320408678324,Residencial
888,18102,2.0,,14653.63466984,903.1800353533713,Residencial
890,18102,2.0,,263718.985362005,8081.0914774386065,Residencial
908,18102,2.0,,2410.912338395,329.1268088675962,Residencial
917,18102,2.0,,257927.007140935,6140.290561833364,Residencial
944,18102,2.0,,826560.62501125,11300.99271735675,Residencial
947,18102,2.0,,593600.907994845,6914.741459483649,Residencial
955,18102,2.0,,110487.58393506,3312.9481123668807,Residencial
956,18103,2.0,,89927.43569842,2420.1534219675345,Residencial
967,18105,2.0,,621235.30667966,19503.651472490463,Residencial
1017,18105,2.0,,68327.44421179,1760.40928911231,Residencial
1023,18106,2.0,,123368.76610148,3115.6178580036394,Residencial
1024,18106,2.0,,6587.036549955,383.12551856707597,Residencial
1025,18106,2.0,,2637.12873902,211.7546249260463,Residencial
1034,18107,2.0,,252049.10813568,5544.953053883051,Residencial
1040,18109,2.0,,59455.679772265,3433.3958746297762,Residencial
1041,18114,2.0,,368001.905389055,5619.362672522074,Residencial
1046,18115,2.0,,945575.919123405,7349.554143394196,Residencial
1050,18116,2.0,,380802.31214644,18047.426344080777,Residencial
1064,18117,2.0,,155200.073600855,3473.039039913462,Residencial
1065,18117,2.0,,2119.241650515,201.31731375572085,Residencial
1068,18119,2.0,,529627.444430285,27854.424608430712,Residencial
1069,18120,2.0,,90275.07269731,2344.8345172278946,Residencial
1072,18122,2.0,,12038.48020179,1120.73776113795,Residencial
1075,18122,2.0,RF-A.8A,39061.438522005,1043.8337725757922,Residencial
1080,18122,2.0,,253901.281727205,2416.7143615477303,Residencial
1082,18122,2.0,,38150.264126615,1063.2410585269174,Residencial
1083,18122,2.0,LJ-A.2E-PEÑAS_SUR,99429.93957219,1613.0899513846487,Residencial
1084,18122,2.0,,30221.58300845,1598.6848073902615,Residencial
1086,18122,2.0,,204257.319930605,3192.9955561478746,Residencial
1087,18122,2.0,LJ-A.2D/E-EL_VISO,70268.327904725,1690.1987325287298,Residencial
1090,18122,2.0,,133012.338123515,2543.735789650273,Residencial
1091,18122,2.0,,97471.45496488,3744.998106967406,Residencial
1093,18122,2.0,,59364.89483308,1361.4227966999074,Residencial
1094,18122,2.0,,1489210.991495575,24288.497052323248,Residencial
1095,18122,2.0,,37942.352852725,1139.693747628309,Residencial
1096,18122,2.0,,32701.232125895,765.3066288041546,Residencial
1097,18122,2.0,,26287.32255762,1116.042629440993,Residencial
1098,18122,2.0,,25792.368051525,649.1042770773013,Residencial
1100,18122,2.0,,39285.82977587,1967.2915191012182,Residencial
1101,18122,2.0,,72105.42720166,1118.7045217845528,Residencial
1102,18122,2.0,,105385.08464508,2173.2919014925287,Residencial
1104,18124,2.0,,66468.25974254,1635.1261799431727,Residencial
1137,18127,2.0,,1957.31787393,427.39576527257134,Residencial
1142,18127,2.0,UE-1,5578.609411575,291.05134886617947,Residencial
1148,18127,2.0,UEU-13,57158.663850375,975.3032518179424,Residencial
1154,18127,2.0,,1169108.105312765,21898.704416221462,Residencial
1164,18128,2.0,,126994.366815865,3852.594680225634,Residencial
1171,18132,2.0,,24898.28903826,717.1172065086641,Residencial
1173,18132,2.0,,2168.244013925,204.9186034934569,Residencial
1174,18132,2.0,,94234.946466895,2828.5317195424245,Residencial
1178,18132,2.0,,10490.8738328,518.4045451769698,Residencial
1179,18132,2.0,,24183.17171709,1216.1051254727458,Residencial
1181,18132,2.0,,9926.28146646,669.8594532000694,Residencial
1183,18132,2.0,,7750.55529293,355.09403302592324,Residencial
1190,18132,2.0,,245094.5237936,5313.951048666254,Residencial
1192,18132,2.0,,19038.54891659,803.7106843560944,Residencial
1201,18132,2.0,,252098.406286415,6635.936095647866,Residencial
1207,18132,2.0,,167137.74685581,4786.24369110024,Residencial
1215,18132,2.0,,93239.9261464,3577.5287091687114,Residencial
1217,18132,2.0,,211208.12943796,2157.34506073048,Residencial
1237,18132,2.0,,7067.252418925,369.89688776484167,Residencial
1242,18132,2.0,,51193.053033,2014.7022692292578,Residencial
1247,18132,2.0,,24899.571446825,1397.4795365130951,Residencial
1252,18133,2.0,,205222.216039685,5284.743723959132,Residencial
1259,18135,2.0, ,5561.436516795,359.8866236702335,Residencial
1262,18135,2.0, ,19649.75192422,881.5750481054578,Residencial
1266,18135,2.0, ,166547.53810321,4675.20702617638,Residencial
1271,18135,2.0, ,2073.64073284,182.79850075050598,Residencial
1274,18135,2.0, ,443690.455622055,8908.556202065496,Residencial
1277,18135,2.0, ,7413.138724815,367.9877772273093,Residencial
1283,18136,2.0,,380215.725686385,4404.288557133508,Residencial
1290,18137,2.0,,223630.986630935,6135.822714898989,Residencial
1299,18137,2.0,,18793.18561576,1281.5222370568172,Residencial
1317,18138,2.0, ,141168.636588945,3566.093149245329,Residencial
1333,18138,2.0, ,448363.76160728,12457.106107457552,Residencial
1346,18138,2.0, ,66597.68373047,2928.7037236230694,Residencial
1347,18138,2.0, ,1.101131425,21.710554667085756,Residencial
